GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
02013,2009,Aleutians East Borough,Alaska,2959,8.37,263,58.59,654,56250,122100,18,9.97,9.83,9.5,17.17,47.48,0.34,5.58,0.14,0,,,0,0,0,1
02013,2010,Aleutians East Borough,Alaska,3141,6.28,268,48.46,847,58125,120900,20.6,13.53,6.75,12.26,27.67,35.43,0.6,3.72,0.03,0,,,0,0,0,1
02013,2013,Aleutians East Borough,Alaska,3304,12.74,274,46.52,930,61518,126100,22,14.98,9.17,12.05,29,30.51,1.12,3.18,0,0,,,0,0,0,1
02013,2015,Aleutians East Borough,Alaska,3304,12.74,278,46.52,930,61518,126100,22,14.98,9.17,12.05,29,30.51,1.12,3.18,0,0,,,0,0,0,1
02016,2016,Aleutians West Census Area,Alaska,5684,5.81,849,67.75,1270,84306,217500,19.4,27.76,4.61,10.96,12.95,36.77,2.45,4.4,0.11,0,,,0,0,0,1
02060,2014,Bristol Bay Borough,Alaska,970,3.69,208,45.89,1063,79750,187500,21.4,53.4,0.52,7.11,28.97,0.72,0.21,9.07,0,0,,,0,0,0,1
02068,2000,Denali Borough,Alaska,1893,7.89,274,34.9,568,53654,103400,15.8,84.52,1.43,2.48,4.7,1.37,0.32,4.97,0.21,,,,,0,0,1
02068,2001,Denali Borough,Alaska,1893,7.89,267,34.9,568,53654,103400,15.8,84.52,1.43,2.48,4.7,1.37,0.32,4.97,0.21,,,,,0,0,1
02068,2002,Denali Borough,Alaska,1893,7.89,260,34.9,568,53654,103400,15.8,84.52,1.43,2.48,4.7,1.37,0.32,4.97,0.21,,,,,0,0,1
02068,2003,Denali Borough,Alaska,1893,7.89,252,34.9,568,53654,103400,15.8,84.52,1.43,2.48,4.7,1.37,0.32,4.97,0.21,,,,,0,0,1
02068,2004,Denali Borough,Alaska,1893,7.89,245,34.9,568,53654,103400,15.8,84.52,1.43,2.48,4.7,1.37,0.32,4.97,0.21,,,,,0,0,1
02068,2005,Denali Borough,Alaska,1529,2.34,238,35.89,510,76250,167000,13.6,90.45,2.22,0.59,1.9,0.39,0,3.47,0.98,,,,,0,0,1
02068,2006,Denali Borough,Alaska,1529,2.34,231,35.89,510,76250,167000,13.6,90.45,2.22,0.59,1.9,0.39,0,3.47,0.98,,,,,0,0,1
02068,2007,Denali Borough,Alaska,1529,2.34,224,35.89,510,76250,167000,13.6,90.45,2.22,0.59,1.9,0.39,0,3.47,0.98,,,,,0,0,1
02068,2008,Denali Borough,Alaska,1529,2.34,216,35.89,510,76250,167000,13.6,90.45,2.22,0.59,1.9,0.39,0,3.47,0.98,0,,,0,0,0,1
02068,2010,Denali Borough,Alaska,1826,0.49,202,25.06,782,74044,201900,15.6,88.39,0.55,2.3,3.5,1.04,0.05,3.89,0.27,0,,,0,0,0,1
02068,2011,Denali Borough,Alaska,2060,2.72,205,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02068,2012,Denali Borough,Alaska,2060,2.72,208,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02068,2013,Denali Borough,Alaska,2060,2.72,211,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02068,2014,Denali Borough,Alaska,2060,2.72,213,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02068,2015,Denali Borough,Alaska,2060,2.72,216,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02068,2016,Denali Borough,Alaska,2060,2.72,219,24.67,1044,81544,190200,11.9,84.71,0.63,2.62,3.54,2.86,0,5.63,0,0,,,0,0,0,1
02100,2016,Haines Borough,Alaska,2560,1.32,342,30.95,868,58750,211400,22.9,79.57,0.04,1.52,6.37,3.01,0,9.49,0,0,,,0,0,0,1
02105,2000,Hoonah-Angoon Census Area,Alaska,3436,12.8,352,37.11,515,40879,120900,16.7,57.48,0.15,2.82,33.96,0.35,0.15,4.95,0.15,,,,,0,0,1
02105,2001,Hoonah-Angoon Census Area,Alaska,3436,12.8,346,37.11,515,40879,120900,16.7,57.48,0.15,2.82,33.96,0.35,0.15,4.95,0.15,,,,,0,0,1
02105,2002,Hoonah-Angoon Census Area,Alaska,3436,12.8,340,37.11,515,40879,120900,16.7,57.48,0.15,2.82,33.96,0.35,0.15,4.95,0.15,,,,,0,0,1
02105,2003,Hoonah-Angoon Census Area,Alaska,3436,12.8,333,37.11,515,40879,120900,16.7,57.48,0.15,2.82,33.96,0.35,0.15,4.95,0.15,,,,,0,0,1
02105,2004,Hoonah-Angoon Census Area,Alaska,3436,12.8,327,37.11,515,40879,120900,16.7,57.48,0.15,2.82,33.96,0.35,0.15,4.95,0.15,,,,,0,0,1
02105,2005,Hoonah-Angoon Census Area,Alaska,2042,10.82,321,26.33,619,43208,169000,24.4,41.67,0,4.11,41.28,0.54,0.54,11.85,0,,,,,0,0,1
02105,2006,Hoonah-Angoon Census Area,Alaska,2042,10.82,315,26.33,619,43208,169000,24.4,41.67,0,4.11,41.28,0.54,0.54,11.85,0,,,,,0,0,1
02105,2007,Hoonah-Angoon Census Area,Alaska,2042,10.82,309,26.33,619,43208,169000,24.4,41.67,0,4.11,41.28,0.54,0.54,11.85,0,,,,,0,0,1
02105,2008,Hoonah-Angoon Census Area,Alaska,2042,10.82,302,26.33,619,43208,169000,24.4,41.67,0,4.11,41.28,0.54,0.54,11.85,0,0,,,0,0,0,1
02105,2009,Hoonah-Angoon Census Area,Alaska,2042,10.82,296,26.33,619,43208,169000,24.4,41.67,0,4.11,41.28,0.54,0.54,11.85,0,0,,,0,0,0,1
02105,2010,Hoonah-Angoon Census Area,Alaska,2150,9.88,290,31.76,746,48942,208100,24.4,46.19,0.37,3.58,39.53,0.56,0.05,9.72,0,0,,,0,0,0,1
02105,2011,Hoonah-Angoon Census Area,Alaska,2128,8.32,293,33.74,725,52419,233400,22.2,49.3,2.21,2.21,32.42,2.63,0.05,11,0.19,0,,,0,0,0,1
02105,2012,Hoonah-Angoon Census Area,Alaska,2128,8.32,295,33.74,725,52419,233400,22.2,49.3,2.21,2.21,32.42,2.63,0.05,11,0.19,0,,,0,0,0,1
02105,2015,Hoonah-Angoon Census Area,Alaska,2128,8.32,303,33.74,725,52419,233400,22.2,49.3,2.21,2.21,32.42,2.63,0.05,11,0.19,0,,,0,0,0,1
02230,2000,Skagway Municipality,Alaska,,,156,,,,,,,,,,,,,,,,,,0,0,1
02230,2001,Skagway Municipality,Alaska,,,160,,,,,,,,,,,,,,,,,,0,0,1
02230,2002,Skagway Municipality,Alaska,,,164,,,,,,,,,,,,,,,,,,0,0,1
02230,2003,Skagway Municipality,Alaska,,,168,,,,,,,,,,,,,,,,,,0,0,1
02230,2004,Skagway Municipality,Alaska,,,172,,,,,,,,,,,,,,,,,,0,0,1
02230,2005,Skagway Municipality,Alaska,1071,0,176,35.36,1002,71295,259800,20.1,84.59,1.87,3.36,3.17,1.49,0,5.51,0,,,,,0,0,1
02230,2006,Skagway Municipality,Alaska,1071,0,179,35.36,1002,71295,259800,20.1,84.59,1.87,3.36,3.17,1.49,0,5.51,0,,,,,0,0,1
02230,2007,Skagway Municipality,Alaska,1071,0,183,35.36,1002,71295,259800,20.1,84.59,1.87,3.36,3.17,1.49,0,5.51,0,,,,,0,0,1
02230,2008,Skagway Municipality,Alaska,1071,0,187,35.36,1002,71295,259800,20.1,84.59,1.87,3.36,3.17,1.49,0,5.51,0,0,,,0,0,0,1
