County,State,City Code,Population Rank,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17
Acadia,LA,26061.75,4531.25,1077.25,1071.5,1076.25,1081.5,1084.25,1083.75,1091.0,1114.25,1133.75,1142.75,1144.25,1142.75,1144.0,1156.25,1174.0,1186.0,1185.0,1169.0,1141.25,1109.75,1091.25,1089.75,1097.0,1100.75,1095.25,1082.25,1064.5,1058.5,1056.25,1065.25,1074.0,1080.5,1081.25,1078.5,1082.0,1094.5,1096.5,1089.5,1063.0,1042.25,1042.75,1059.5,1068.75,1063.75,1066.75,1089.5,1109.25,1115.5,1118.0,1136.0,1158.25,1174.25,1183.5,1192.0,1206.5,1222.5,1233.75,1231.5,1222.25,1215.5,1212.0,1214.25,1227.0,1237.0,1236.25,1222.25,1217.25,1217.0,1208.25,1185.0,1162.5,1150.0,1148.0,1149.0,1146.0
Accomack,VA,26642.25,10553.0,1269.75,1276.75,1291.75,1308.0,1313.0,1317.5,1317.25,1317.5,1319.75,1329.25,1340.75,1347.0,1355.75,1362.75,1375.25,1378.0,1371.5,1354.0,1347.0,1348.75,1356.25,1361.25,1372.0,1382.75,1400.0,1407.0,1413.5,1413.25,1407.75,1397.0,1376.75,1357.5,1340.75,1329.0,1325.5,1329.25,1354.25,1377.5,1391.5,1393.0,1389.0,1384.5,1374.75,1367.25,1359.25,1354.0,1340.5,1323.75,1274.0,1209.0,1134.75,1089.5,1094.0,1132.0,1194.25,1235.0,1262.0,1275.25,1277.5,1276.75,1284.75,1302.75,1330.25,1364.75,1371.75,1360.25,1331.25,1311.75,1296.0,1282.75,1274.25,1268.25,1267.75,1271.75,1277.25
Ada,ID,23933.833333333332,2994.6666666666665,,,,,1055.8333333333333,1054.8333333333333,1050.3333333333333,1046.3333333333333,1044.1666666666667,1040.5,1040.6666666666667,1042.6666666666667,1049.0,1052.8333333333333,1055.8333333333333,1060.3333333333333,1062.5,1063.3333333333333,1063.6666666666667,1063.8333333333333,1062.5,1062.5,1061.6666666666667,1065.3333333333333,1069.8333333333333,1077.0,1085.6666666666667,1096.1666666666667,1104.1666666666667,1111.5,1117.8333333333333,1126.0,1134.0,1143.6666666666667,1151.6666666666667,1160.5,1171.1666666666667,1181.1666666666667,1185.6666666666667,1189.3333333333333,1188.8333333333333,1193.3333333333333,1198.6666666666667,1202.6666666666667,1208.8333333333333,1216.3333333333333,1226.3333333333333,1232.6666666666667,1235.8333333333333,1238.0,1242.5,1252.3333333333333,1260.8333333333333,1269.0,1278.5,1287.1666666666667,1295.6666666666667,1302.8333333333333,1305.5,1303.5,1299.0,1295.3333333333333,1296.0,1302.1666666666667,1306.5,1310.6666666666667,1317.1666666666667,1323.8333333333333,1327.3333333333333,1329.3333333333333,1331.5,1336.6666666666667,1342.1666666666667,1347.1666666666667,1353.5
Adair,IA,45558.0,8262.0,1039.0,999.0,974.0,961.0,961.0,957.0,965.0,978.0,989.0,983.0,971.0,956.0,937.0,925.0,906.0,884.0,868.0,863.0,851.0,840.0,820.0,806.0,792.0,799.0,809.0,846.0,868.0,887.0,890.0,890.0,884.0,873.0,859.0,843.0,833.0,836.0,837.0,855.0,867.0,866.0,868.0,872.0,874.0,874.0,887.0,916.0,950.0,966.0,970.0,964.0,959.0,953.0,945.0,947.0,946.0,958.0,964.0,976.0,985.0,981.0,964.0,949.0,950.0,958.0,974.0,971.0,976.0,973.0,977.0,966.0,952.0,939.0,925.0,922.0,923.0
Adams,CO,54588.0,4573.428571428572,1248.2142857142858,1251.9285714285713,1259.857142857143,1273.5,1288.2857142857142,1299.357142857143,1309.2857142857142,1321.5714285714287,1328.7857142857142,1328.2857142857142,1321.2857142857142,1320.0714285714287,1329.0714285714287,1339.0,1346.5714285714287,1351.2857142857142,1351.9285714285713,1353.642857142857,1353.357142857143,1354.7857142857142,1358.0714285714287,1364.7857142857142,1374.2142857142858,1382.0714285714287,1391.4285714285713,1396.7142857142858,1402.2857142857142,1409.357142857143,1417.0714285714287,1424.857142857143,1431.2857142857142,1436.142857142857,1443.4285714285713,1454.2142857142858,1467.9285714285713,1479.0,1488.642857142857,1496.357142857143,1505.357142857143,1514.2857142857142,1517.9285714285713,1522.9285714285713,1528.857142857143,1536.142857142857,1546.357142857143,1561.9285714285713,1584.642857142857,1608.0714285714287,1632.7142857142858,1652.5,1669.357142857143,1684.2142857142858,1698.9285714285713,1714.2857142857142,1730.0714285714287,1746.2857142857142,1761.7142857142858,1774.7142857142858,1782.142857142857,1787.642857142857,1795.0,1799.9285714285713,1807.2857142857142,1812.357142857143,1822.4285714285713,1832.5,1846.357142857143,1855.5714285714287,1861.4285714285713,1862.5714285714287,1862.357142857143,1862.5714285714287,1866.2857142857142,1868.9285714285713,1870.142857142857
Adams,IA,38022.0,8311.0,933.0,925.0,924.0,928.0,936.0,931.0,922.0,922.0,915.0,909.0,895.0,890.0,884.0,861.0,832.0,822.0,818.0,824.0,823.0,807.0,796.0,781.0,785.0,790.0,810.0,833.0,841.0,850.0,844.0,845.0,849.0,851.0,845.0,835.0,827.0,825.0,827.0,832.0,836.0,835.0,832.0,835.0,848.0,863.0,885.0,915.0,935.0,940.0,930.0,917.0,905.0,910.0,901.0,900.0,894.0,906.0,916.0,932.0,939.0,941.0,941.0,936.0,938.0,946.0,955.0,939.0,928.0,905.0,888.0,863.0,842.0,829.0,821.0,825.0,843.0
Adams,IL,21653.666666666668,7916.666666666667,,,,,,,,,,,,,,,,,,1178.0,1186.6666666666667,1199.0,1224.3333333333333,1229.3333333333333,1233.3333333333333,1227.6666666666667,1214.6666666666667,1202.6666666666667,1196.3333333333333,1203.0,1178.6666666666667,1148.0,1128.0,1142.0,1173.0,1208.0,1235.0,1253.3333333333333,1250.0,1223.3333333333333,1193.6666666666667,1172.3333333333333,1191.0,1201.6666666666667,1211.0,1199.0,1196.0,1194.0,1206.6666666666667,1209.0,1242.0,1266.3333333333333,1269.3333333333333,1236.6666666666667,1211.6666666666667,1209.0,1192.0,1174.3333333333333,1159.0,1162.0,1156.0,1143.6666666666667,1142.0,1154.3333333333333,1179.3333333333333,1200.0,1221.6666666666667,1234.0,1236.0,1224.0,1212.6666666666667,1198.0,1186.0,1166.0,1146.6666666666667,1137.3333333333333,1140.0
Adams,MS,12909.0,1606.0,,,,,,,,,,,,,,,,,,1054.0,1011.0,988.0,980.0,977.0,955.0,926.0,891.0,857.0,830.0,825.0,847.0,880.0,912.0,939.0,969.0,995.0,1020.0,1041.0,1060.0,1067.0,1065.0,1049.0,1014.0,963.0,917.0,885.0,881.0,885.0,904.0,919.0,949.0,967.0,969.0,952.0,941.0,955.0,995.0,1032.0,1033.0,1011.0,980.0,954.0,926.0,902.0,898.0,932.0,983.0,1021.0,1020.0,997.0,970.0,950.0,937.0,923.0,916.0,909.0,915.0
Adams,NE,38915.0,1836.0,827.0,842.0,855.0,854.0,863.0,876.0,901.0,928.0,958.0,978.0,974.0,946.0,927.0,930.0,955.0,979.0,989.0,973.0,947.0,926.0,916.0,909.0,904.0,911.0,936.0,965.0,991.0,1008.0,1022.0,1031.0,1027.0,1015.0,1004.0,999.0,1012.0,1035.0,1053.0,1047.0,1030.0,1012.0,1000.0,994.0,981.0,969.0,968.0,981.0,996.0,1003.0,1011.0,1016.0,1016.0,1004.0,1000.0,1014.0,1045.0,1080.0,1098.0,1100.0,1096.0,1096.0,1097.0,1092.0,1089.0,1073.0,1078.0,1088.0,1101.0,1109.0,1106.0,1102.0,1101.0,1101.0,1095.0,1072.0,1047.0
Adams,OH,33961.0,8389.0,782.5,785.0,788.25,789.25,790.25,792.75,798.25,809.75,825.75,840.75,849.25,850.25,849.25,848.75,847.75,842.0,841.75,839.25,834.75,828.5,823.75,824.25,827.0,834.5,840.5,842.75,838.25,831.75,828.75,832.0,836.0,839.25,844.75,848.5,854.5,860.5,869.0,878.25,881.75,883.5,882.25,880.0,873.0,867.75,864.5,866.0,873.0,880.75,882.75,889.25,901.25,913.5,924.75,938.75,951.25,957.75,954.75,945.0,932.5,921.0,913.25,911.75,920.0,919.25,923.5,920.25,921.75,923.5,925.0,924.75,923.0,921.75,918.0,909.75,898.5
