state,county
California,Los Angeles
Illinois,Cook
Texas,Harris
Arizona,Maricopa
California,San Diego
California,Orange
Florida,Miami-Dade
Texas,Dallas
New York,Kings
California,Riverside
New York,Queens
Washington,King
Nevada,Clark
California,San Bernardino
Texas,Tarrant
Texas,Bexar
California,Santa Clara
Florida,Broward
Michigan,Wayne
California,Alameda
New York,New York
Massachusetts,Middlesex
Pennsylvania,Philadelphia
California,Sacramento
New York,Suffolk
Florida,Palm Beach
New York,Bronx
Florida,Hillsborough
New York,Nassau
Florida,Orange
Ohio,Franklin
Michigan,Oakland
Ohio,Cuyahoga
Minnesota,Hennepin
Texas,Travis
Pennsylvania,Allegheny
Virginia,Fairfax
California,Contra Costa
Utah,Salt Lake
North Carolina,Mecklenburg
North Carolina,Wake
Maryland,Montgomery
Georgia,Fulton
Arizona,Pima
Missouri,St. Louis
Hawaii,Honolulu
California,Fresno
Texas,Collin
New York,Westchester
Florida,Pinellas
Indiana,Marion
Wisconsin,Milwaukee
Connecticut,Fairfield
Tennessee,Shelby
Florida,Duval
New Jersey,Bergen
Illinois,DuPage
New York,Erie
Georgia,Gwinnett
Maryland,Prince George's
Connecticut,Hartford
California,Kern
Washington,Pierce
California,San Francisco
Michigan,Macomb
Connecticut,New Haven
Texas,Hidalgo
California,Ventura
Texas,El Paso
Texas,Denton
Maryland,Baltimore
New Jersey,Middlesex
Massachusetts,Worcester
Pennsylvania,Montgomery
Ohio,Hamilton
Oregon,Multnomah
Washington,Snohomish
Massachusetts,Suffolk
New Jersey,Essex
Oklahoma,Oklahoma
Massachusetts,Essex
California,San Mateo
Kentucky,Jefferson
Texas,Fort Bend
Georgia,Cobb
Georgia,DeKalb
New York,Monroe
California,San Joaquin
Florida,Lee
Colorado,Denver
Illinois,Lake
Massachusetts,Norfolk
Colorado,El Paso
Missouri,Jackson
District of Columbia,District of Columbia
Illinois,Will
Tennessee,Davidson
Florida,Polk
New Mexico,Bernalillo
New Jersey,Hudson
Alabama,Jefferson
Michigan,Kent
Oklahoma,Tulsa
Colorado,Arapahoe
Rhode Island,Providence
Pennsylvania,Bucks
New Jersey,Monmouth
Utah,Utah
New Jersey,Ocean
Kansas,Johnson
Oregon,Washington
Florida,Brevard
Colorado,Jefferson
Texas,Montgomery
Maryland,Anne Arundel
Pennsylvania,Delaware
Massachusetts,Bristol
Nebraska,Douglas
Delaware,New Castle
New Jersey,Union
Texas,Williamson
Minnesota,Ramsey
California,Stanislaus
Ohio,Summit
Pennsylvania,Lancaster
Florida,Volusia
Wisconsin,Dane
Ohio,Montgomery
Illinois,Kane
North Carolina,Guilford
Florida,Pasco
Pennsylvania,Chester
Massachusetts,Plymouth
Kansas,Sedgwick
South Carolina,Greenville
New Jersey,Camden
Washington,Spokane
Colorado,Adams
New Jersey,Passaic
California,Sonoma
New Jersey,Morris
Indiana,Lake
Iowa,Polk
New York,Richmond
Washington,Clark
Massachusetts,Hampden
New York,Onondaga
California,Tulare
Virginia,Prince William
Florida,Seminole
Tennessee,Knox
Nevada,Washoe
Idaho,Ada
Virginia,Virginia Beach
New Jersey,Burlington
Pennsylvania,York
California,Santa Barbara
Louisiana,East Baton Rouge
California,Solano
Louisiana,Jefferson
California,Monterey
Arizona,Pinal
Ohio,Lucas
Texas,Cameron
Minnesota,Dakota
Florida,Sarasota
Pennsylvania,Berks
Alabama,Mobile
New Hampshire,Hillsborough
South Carolina,Richland
Oregon,Clackamas
Michigan,Genesee
South Carolina,Charleston
Wisconsin,Waukesha
Virginia,Loudoun
Missouri,St. Charles
Arkansas,Pulaski
Louisiana,Orleans
California,Placer
Florida,Manatee
New York,Orange
Ohio,Butler
North Carolina,Forsyth
Oregon,Lane
Indiana,Allen
Ohio,Stark
Florida,Collier
New Jersey,Mercer
Michigan,Washtenaw
Pennsylvania,Lehigh
Alabama,Madison
Texas,Nueces
Tennessee,Hamilton
Texas,Brazoria
Florida,Marion
Pennsylvania,Westmoreland
Florida,Osceola
Minnesota,Anoka
Texas,Bell
Florida,Lake
Utah,Davis
Colorado,Larimer
Virginia,Chesterfield
Oregon,Marion
Colorado,Douglas
Texas,Galveston
North Carolina,Cumberland
South Carolina,Horry
New Jersey,Somerset
Virginia,Henrico
New York,Rockland
Indiana,Hamilton
Colorado,Boulder
Kentucky,Fayette
Maryland,Howard
Pennsylvania,Luzerne
Tennessee,Rutherford
Florida,Escambia
Nebraska,Lancaster
Florida,St. Lucie
North Carolina,Durham
Illinois,McHenry
Ohio,Lorain
South Carolina,Spartanburg
New York,Albany
New Hampshire,Rockingham
Colorado,Weld
Texas,Lubbock
Pennsylvania,Northampton
New York,Dutchess
Alaska,Anchorage
Maine,Cumberland
New Jersey,Gloucester
Michigan,Ingham
South Carolina,Lexington
Florida,Leon
Missouri,Greene
Georgia,Chatham
Michigan,Ottawa
Illinois,Winnebago
Georgia,Clayton
California,San Luis Obispo
Washington,Thurston
Oklahoma,Cleveland
Pennsylvania,Dauphin
California,Santa Cruz
Pennsylvania,Erie
Texas,Webb
California,Merced
Indiana,St. Joseph
Connecticut,New London
New Jersey,Atlantic
Washington,Kitsap
South Carolina,York
Arkansas,Benton
Florida,Alachua
Illinois,Madison
Michigan,Kalamazoo
Illinois,St. Clair
Wisconsin,Brown
California,Marin
North Carolina,Buncombe
Minnesota,Washington
Louisiana,St. Tammany
Texas,Jefferson
Maryland,Harford
Utah,Weber
Maryland,Frederick
Texas,McLennan
Washington,Yakima
Pennsylvania,Cumberland
Georgia,Cherokee
Louisiana,Caddo
Florida,St. Johns
Virginia,Norfolk
Missouri,Clay
Louisiana,Lafayette
Virginia,Chesapeake
Mississippi,Hinds
Virginia,Arlington
Arkansas,Washington
North Carolina,Union
Ohio,Mahoning
New York,Oneida
Ohio,Lake
Ohio,Warren
New York,Saratoga
Georgia,Forsyth
Arizona,Yavapai
North Carolina,New Hanover
Texas,Smith
Alabama,Montgomery
Virginia,Richmond
California,Butte
Tennessee,Williamson
Georgia,Henry
Delaware,Sussex
Missouri,Jefferson
Iowa,Linn
Texas,Brazos
Washington,Whatcom
North Carolina,Gaston
Idaho,Canyon
California,Yolo
Oregon,Jackson
New Mexico,Doña Ana
South Carolina,Berkeley
Massachusetts,Barnstable
Alabama,Shelby
Texas,Hays
Alabama,Baldwin
Florida,Clay
New York,Niagara
Pennsylvania,Lackawanna
Illinois,Champaign
Arizona,Yuma
Arizona,Mohave
Alabama,Tuscaloosa
Pennsylvania,Washington
North Carolina,Cabarrus
Indiana,Elkhart
Mississippi,Harrison
Maine,York
Ohio,Clermont
Florida,Okaloosa
Georgia,Richmond
Louisiana,Calcasieu
Ohio,Delaware
Ohio,Trumbull
Tennessee,Montgomery
Minnesota,St. Louis
Hawaii,Hawaii
Georgia,Hall
South Carolina,Anderson
Washington,Benton
North Carolina,Johnston
Illinois,Sangamon
Georgia,Muscogee
Wisconsin,Racine
North Carolina,Onslow
New York,Broome
Michigan,Saginaw
Indiana,Tippecanoe
Michigan,Livingston
South Dakota,Minnehaha
California,El Dorado
Pennsylvania,Butler
Florida,Hernando
Oregon,Deschutes
South Carolina,Beaufort
Wisconsin,Outagamie
Tennessee,Sumner
West Virginia,Kanawha
Illinois,Peoria
Florida,Bay
Connecticut,Litchfield
Indiana,Vanderburgh
Nebraska,Sarpy
Florida,Charlotte
California,Imperial
Virginia,Newport News
California,Shasta
Mississippi,DeSoto
New York,Ulster
North Carolina,Pitt
Ohio,Medina
Kansas,Shawnee
Missouri,Boone
North Dakota,Cass
Delaware,Kent
North Carolina,Iredell
Florida,Santa Rosa
Texas,Ellis
Ohio,Licking
Michigan,Muskegon
Illinois,McLean
Iowa,Scott
Wisconsin,Winnebago
Indiana,Porter
Wisconsin,Kenosha
South Carolina,Aiken
Texas,Midland
Pennsylvania,Monroe
Maryland,Carroll
Texas,Johnson
Ohio,Greene
Colorado,Pueblo
Hawaii,Maui
Pennsylvania,Beaver
Utah,Washington
Kentucky,Kenton
North Carolina,Davidson
Kansas,Wyandotte
Rhode Island,Kent
Indiana,Hendricks
North Carolina,Alamance
Connecticut,Middlesex
Vermont,Chittenden
Ohio,Portage
Wisconsin,Rock
Pennsylvania,Centre
Alabama,Lee
