county_state,county,state_id,state_name
Los Angeles_California,Los Angeles,CA,California
Cook_Illinois,Cook,IL,Illinois
Harris_Texas,Harris,TX,Texas
Maricopa_Arizona,Maricopa,AZ,Arizona
San Diego_California,San Diego,CA,California
Orange_California,Orange,CA,California
Miami-Dade_Florida,Miami-Dade,FL,Florida
Dallas_Texas,Dallas,TX,Texas
Kings_New York,Kings,NY,New York
Riverside_California,Riverside,CA,California
Queens_New York,Queens,NY,New York
King_Washington,King,WA,Washington
Clark_Nevada,Clark,NV,Nevada
San Bernardino_California,San Bernardino,CA,California
Tarrant_Texas,Tarrant,TX,Texas
Bexar_Texas,Bexar,TX,Texas
Santa Clara_California,Santa Clara,CA,California
Broward_Florida,Broward,FL,Florida
Wayne_Michigan,Wayne,MI,Michigan
Alameda_California,Alameda,CA,California
New York_New York,New York,NY,New York
Middlesex_Massachusetts,Middlesex,MA,Massachusetts
Philadelphia_Pennsylvania,Philadelphia,PA,Pennsylvania
Sacramento_California,Sacramento,CA,California
Suffolk_New York,Suffolk,NY,New York
Palm Beach_Florida,Palm Beach,FL,Florida
Bronx_New York,Bronx,NY,New York
Hillsborough_Florida,Hillsborough,FL,Florida
Nassau_New York,Nassau,NY,New York
Orange_Florida,Orange,FL,Florida
Franklin_Ohio,Franklin,OH,Ohio
Oakland_Michigan,Oakland,MI,Michigan
Cuyahoga_Ohio,Cuyahoga,OH,Ohio
Hennepin_Minnesota,Hennepin,MN,Minnesota
Travis_Texas,Travis,TX,Texas
Allegheny_Pennsylvania,Allegheny,PA,Pennsylvania
Fairfax_Virginia,Fairfax,VA,Virginia
Contra Costa_California,Contra Costa,CA,California
Salt Lake_Utah,Salt Lake,UT,Utah
Mecklenburg_North Carolina,Mecklenburg,NC,North Carolina
Wake_North Carolina,Wake,NC,North Carolina
Montgomery_Maryland,Montgomery,MD,Maryland
Fulton_Georgia,Fulton,GA,Georgia
Pima_Arizona,Pima,AZ,Arizona
St. Louis_Missouri,St. Louis,MO,Missouri
Honolulu_Hawaii,Honolulu,HI,Hawaii
Fresno_California,Fresno,CA,California
Collin_Texas,Collin,TX,Texas
Westchester_New York,Westchester,NY,New York
Pinellas_Florida,Pinellas,FL,Florida
Marion_Indiana,Marion,IN,Indiana
Milwaukee_Wisconsin,Milwaukee,WI,Wisconsin
Fairfield_Connecticut,Fairfield,CT,Connecticut
Shelby_Tennessee,Shelby,TN,Tennessee
Duval_Florida,Duval,FL,Florida
Bergen_New Jersey,Bergen,NJ,New Jersey
DuPage_Illinois,DuPage,IL,Illinois
Erie_New York,Erie,NY,New York
Gwinnett_Georgia,Gwinnett,GA,Georgia
Prince George's_Maryland,Prince George's,MD,Maryland
Hartford_Connecticut,Hartford,CT,Connecticut
Kern_California,Kern,CA,California
Pierce_Washington,Pierce,WA,Washington
San Francisco_California,San Francisco,CA,California
Macomb_Michigan,Macomb,MI,Michigan
New Haven_Connecticut,New Haven,CT,Connecticut
Hidalgo_Texas,Hidalgo,TX,Texas
Ventura_California,Ventura,CA,California
El Paso_Texas,El Paso,TX,Texas
Denton_Texas,Denton,TX,Texas
Baltimore_Maryland,Baltimore,MD,Maryland
Middlesex_New Jersey,Middlesex,NJ,New Jersey
Worcester_Massachusetts,Worcester,MA,Massachusetts
Montgomery_Pennsylvania,Montgomery,PA,Pennsylvania
Hamilton_Ohio,Hamilton,OH,Ohio
Multnomah_Oregon,Multnomah,OR,Oregon
Snohomish_Washington,Snohomish,WA,Washington
Suffolk_Massachusetts,Suffolk,MA,Massachusetts
Essex_New Jersey,Essex,NJ,New Jersey
Oklahoma_Oklahoma,Oklahoma,OK,Oklahoma
Essex_Massachusetts,Essex,MA,Massachusetts
San Mateo_California,San Mateo,CA,California
Jefferson_Kentucky,Jefferson,KY,Kentucky
Fort Bend_Texas,Fort Bend,TX,Texas
Cobb_Georgia,Cobb,GA,Georgia
DeKalb_Georgia,DeKalb,GA,Georgia
Monroe_New York,Monroe,NY,New York
San Joaquin_California,San Joaquin,CA,California
Lee_Florida,Lee,FL,Florida
Denver_Colorado,Denver,CO,Colorado
Lake_Illinois,Lake,IL,Illinois
Norfolk_Massachusetts,Norfolk,MA,Massachusetts
El Paso_Colorado,El Paso,CO,Colorado
Jackson_Missouri,Jackson,MO,Missouri
District of Columbia_District of Columbia,District of Columbia,DC,District of Columbia
Will_Illinois,Will,IL,Illinois
Davidson_Tennessee,Davidson,TN,Tennessee
Polk_Florida,Polk,FL,Florida
Bernalillo_New Mexico,Bernalillo,NM,New Mexico
Hudson_New Jersey,Hudson,NJ,New Jersey
Jefferson_Alabama,Jefferson,AL,Alabama
Kent_Michigan,Kent,MI,Michigan
Tulsa_Oklahoma,Tulsa,OK,Oklahoma
Arapahoe_Colorado,Arapahoe,CO,Colorado
Providence_Rhode Island,Providence,RI,Rhode Island
Bucks_Pennsylvania,Bucks,PA,Pennsylvania
Monmouth_New Jersey,Monmouth,NJ,New Jersey
Utah_Utah,Utah,UT,Utah
Ocean_New Jersey,Ocean,NJ,New Jersey
Johnson_Kansas,Johnson,KS,Kansas
Washington_Oregon,Washington,OR,Oregon
Brevard_Florida,Brevard,FL,Florida
Jefferson_Colorado,Jefferson,CO,Colorado
Montgomery_Texas,Montgomery,TX,Texas
Anne Arundel_Maryland,Anne Arundel,MD,Maryland
Delaware_Pennsylvania,Delaware,PA,Pennsylvania
Bristol_Massachusetts,Bristol,MA,Massachusetts
Douglas_Nebraska,Douglas,NE,Nebraska
New Castle_Delaware,New Castle,DE,Delaware
Union_New Jersey,Union,NJ,New Jersey
Williamson_Texas,Williamson,TX,Texas
Ramsey_Minnesota,Ramsey,MN,Minnesota
Stanislaus_California,Stanislaus,CA,California
Summit_Ohio,Summit,OH,Ohio
Lancaster_Pennsylvania,Lancaster,PA,Pennsylvania
Volusia_Florida,Volusia,FL,Florida
Dane_Wisconsin,Dane,WI,Wisconsin
Montgomery_Ohio,Montgomery,OH,Ohio
Kane_Illinois,Kane,IL,Illinois
Guilford_North Carolina,Guilford,NC,North Carolina
Pasco_Florida,Pasco,FL,Florida
Chester_Pennsylvania,Chester,PA,Pennsylvania
Plymouth_Massachusetts,Plymouth,MA,Massachusetts
Sedgwick_Kansas,Sedgwick,KS,Kansas
Greenville_South Carolina,Greenville,SC,South Carolina
Camden_New Jersey,Camden,NJ,New Jersey
Spokane_Washington,Spokane,WA,Washington
Adams_Colorado,Adams,CO,Colorado
Passaic_New Jersey,Passaic,NJ,New Jersey
Sonoma_California,Sonoma,CA,California
Morris_New Jersey,Morris,NJ,New Jersey
Lake_Indiana,Lake,IN,Indiana
Polk_Iowa,Polk,IA,Iowa
Richmond_New York,Richmond,NY,New York
Clark_Washington,Clark,WA,Washington
Hampden_Massachusetts,Hampden,MA,Massachusetts
Onondaga_New York,Onondaga,NY,New York
Tulare_California,Tulare,CA,California
Prince William_Virginia,Prince William,VA,Virginia
Seminole_Florida,Seminole,FL,Florida
Knox_Tennessee,Knox,TN,Tennessee
Washoe_Nevada,Washoe,NV,Nevada
Ada_Idaho,Ada,ID,Idaho
Virginia Beach_Virginia,Virginia Beach,VA,Virginia
Burlington_New Jersey,Burlington,NJ,New Jersey
York_Pennsylvania,York,PA,Pennsylvania
Santa Barbara_California,Santa Barbara,CA,California
East Baton Rouge_Louisiana,East Baton Rouge,LA,Louisiana
Solano_California,Solano,CA,California
Jefferson_Louisiana,Jefferson,LA,Louisiana
Monterey_California,Monterey,CA,California
Pinal_Arizona,Pinal,AZ,Arizona
Lucas_Ohio,Lucas,OH,Ohio
Cameron_Texas,Cameron,TX,Texas
Dakota_Minnesota,Dakota,MN,Minnesota
Sarasota_Florida,Sarasota,FL,Florida
Berks_Pennsylvania,Berks,PA,Pennsylvania
Mobile_Alabama,Mobile,AL,Alabama
Hillsborough_New Hampshire,Hillsborough,NH,New Hampshire
Richland_South Carolina,Richland,SC,South Carolina
Clackamas_Oregon,Clackamas,OR,Oregon
Genesee_Michigan,Genesee,MI,Michigan
Charleston_South Carolina,Charleston,SC,South Carolina
Waukesha_Wisconsin,Waukesha,WI,Wisconsin
Loudoun_Virginia,Loudoun,VA,Virginia
St. Charles_Missouri,St. Charles,MO,Missouri
Pulaski_Arkansas,Pulaski,AR,Arkansas
Orleans_Louisiana,Orleans,LA,Louisiana
Placer_California,Placer,CA,California
Manatee_Florida,Manatee,FL,Florida
Orange_New York,Orange,NY,New York
Butler_Ohio,Butler,OH,Ohio
Forsyth_North Carolina,Forsyth,NC,North Carolina
Lane_Oregon,Lane,OR,Oregon
Allen_Indiana,Allen,IN,Indiana
Stark_Ohio,Stark,OH,Ohio
Collier_Florida,Collier,FL,Florida
Mercer_New Jersey,Mercer,NJ,New Jersey
Washtenaw_Michigan,Washtenaw,MI,Michigan
Lehigh_Pennsylvania,Lehigh,PA,Pennsylvania
Madison_Alabama,Madison,AL,Alabama
Nueces_Texas,Nueces,TX,Texas
Hamilton_Tennessee,Hamilton,TN,Tennessee
Brazoria_Texas,Brazoria,TX,Texas
Marion_Florida,Marion,FL,Florida
Westmoreland_Pennsylvania,Westmoreland,PA,Pennsylvania
Osceola_Florida,Osceola,FL,Florida
Anoka_Minnesota,Anoka,MN,Minnesota
Bell_Texas,Bell,TX,Texas
Lake_Florida,Lake,FL,Florida
Davis_Utah,Davis,UT,Utah
Larimer_Colorado,Larimer,CO,Colorado
Chesterfield_Virginia,Chesterfield,VA,Virginia
Marion_Oregon,Marion,OR,Oregon
Douglas_Colorado,Douglas,CO,Colorado
Galveston_Texas,Galveston,TX,Texas
Cumberland_North Carolina,Cumberland,NC,North Carolina
Horry_South Carolina,Horry,SC,South Carolina
Somerset_New Jersey,Somerset,NJ,New Jersey
Henrico_Virginia,Henrico,VA,Virginia
Rockland_New York,Rockland,NY,New York
Hamilton_Indiana,Hamilton,IN,Indiana
Boulder_Colorado,Boulder,CO,Colorado
Fayette_Kentucky,Fayette,KY,Kentucky
Howard_Maryland,Howard,MD,Maryland
Luzerne_Pennsylvania,Luzerne,PA,Pennsylvania
Rutherford_Tennessee,Rutherford,TN,Tennessee
Escambia_Florida,Escambia,FL,Florida
Lancaster_Nebraska,Lancaster,NE,Nebraska
St. Lucie_Florida,St. Lucie,FL,Florida
Durham_North Carolina,Durham,NC,North Carolina
McHenry_Illinois,McHenry,IL,Illinois
Lorain_Ohio,Lorain,OH,Ohio
Spartanburg_South Carolina,Spartanburg,SC,South Carolina
Albany_New York,Albany,NY,New York
Rockingham_New Hampshire,Rockingham,NH,New Hampshire
Weld_Colorado,Weld,CO,Colorado
Lubbock_Texas,Lubbock,TX,Texas
Northampton_Pennsylvania,Northampton,PA,Pennsylvania
Dutchess_New York,Dutchess,NY,New York
Anchorage_Alaska,Anchorage,AK,Alaska
Cumberland_Maine,Cumberland,ME,Maine
